term,2014-10-15,2014-10-22,2014-10-01,2014-10-08
00am,1,1,0,3
07pm,1,2,0,4
1000x,1,1,0,1
100k,4,0,8,4
100m,2,3,4,0
100th,1,0,1,7
100x,2,1,0,1
102,6,2,3,0
103,1,3,0,4
1033program,1,1,0,3
1050,4,0,2,1
106,0,2,3,5
10am,0,6,6,16
10yrs,1,0,1,4
112,4,1,3,0
116,0,4,4,5
117,3,4,0,1
118,1,1,5,0
119,0,1,1,1
11alivenews,1,1,1,0
11pm,9,0,6,5
11shots,2,0,1,3
1200,0,1,2,4
121,1,0,1,2
124,0,2,1,1
13pm,0,1,1,2
142,0,1,4,1
147,1,3,2,0
148,1,1,0,2
14pm,1,0,2,1
155,2,0,1,1
159,1,2,0,1
15mbcn_int,1,1,0,3
15min,1,1,1,0
15pm,1,1,7,0
15s,3,4,2,0
15yr,1,1,1,0
160,0,1,2,1
163,1,0,2,1
168,1,2,0,3
16pm,1,1,0,4
16shots,1,1,0,100
16times,1,1,0,492
1740testore,2,4,13,0
1776,1,2,0,5
1776ld,1,3,0,3
1792,3,4,0,1
181,3,0,17,1
188,2,0,3,1
1896,5,1,2,0
18millionrising,2,2,0,2
18yr,2,6,0,8
1908,1,0,1,1
1913,1,4,0,3
1916,4,1,1,0
1917,2,3,0,1
1921,2,0,2,3
1940,0,1,1,1
1943,1,1,1,0
1952,1,1,0,1
1954,2,2,0,2
1956,2,1,1,0
1969,3,1,1,0
1970s,3,2,0,1
1972,1,3,0,2
1973,0,3,1,1
1975,1,2,0,1
1976,5,2,0,2
1981,7,2,0,2
1983,3,2,0,1
1987,0,1,1,1
1990s,1,1,0,1
1993,3,0,3,2
1997,2,0,1,7
1bigbeer,3,0,1,1
1hr,1,2,0,3
1iotabethere,0,1,1,1
1jonathanperez,1,1,2,0
1k,4,0,24,24
1m,2,0,4,4
1s,1,6,0,5
1stamendment,0,3,9,3
2017,4,0,1,3
2018,1,0,1,1
20pm,1,2,0,3
20s,1,0,1,1
20yrs,0,3,1,2
210,0,2,1,2
212,1,0,2,4
215,1,1,0,3
21k,2,0,4,5
220,0,1,27,2
2249,1,0,6,25
2300,1,0,8,2
23pm,4,2,0,2
240,7,2,0,4
242,0,2,1,1
247sports,1,0,3,1
2500,2,0,3,3
2600,1,1,2,0
269,1,2,1,0
26pm,1,0,1,1
2700,0,1,1,2
27pm,1,1,0,3
27th,1,3,1,0
287,1,0,25,18
28stinni,3,3,0,5
292,3,4,2,0
29pm,0,1,1,3
2do,2,3,0,3
2enforce,0,35,63,20
2governaspleases,66,11,0,32
2hrs,7,1,0,1
2keep,1,1,1,0
2mo,1,0,1,1
2q,2,3,2,0
2s,1,2,0,1
2see,1,0,1,2
2shoot,1,0,1,1
2take,1,0,1,1
2the,0,1,2,3
2their,1,1,0,3
2u,1,1,0,3
2weeks,1,1,1,0
2yo,0,1,1,1
2yr,2,3,3,0
300voices,0,1,1,1
301,0,3,2,2
303,3,1,1,0
304,0,1,1,1
30a,0,2,1,2
30k,12,3,0,4
30p,1,0,2,1
324ff166,6,0,2,6
325,0,1,1,1
370,0,1,3,1
373,2,2,2,0
378,1,1,1,0
37pm,1,1,0,1
38pm,0,2,1,2
39th,0,3,1,6
3fm,1,1,2,0
3k,0,8,15,26
3p,4,0,3,1
3rdeyesociety_,1,1,1,0
3rdworldsolidarity,4,3,0,1
40s,1,2,0,2
41pm,1,1,0,3
425,1,0,2,12
459,1,2,0,1
48hrs,0,2,1,1
48pm,1,3,0,1
4a,0,2,1,2
4ever,0,5,1,4
4g,0,1,2,1
4m,0,4,4,2
4rm,0,1,1,3
4them,2,4,1,0
4us,1,1,1,0
4wd,2,0,1,3
4x,3,1,2,0
50m,1,0,1,1
51am,2,1,0,1
5277,5,0,27,16
554,2,3,0,1
559,2,0,1,1
563,2,4,2,0
565,3,1,2,0
575,1,1,1,0
59pm,0,1,1,1
5secondrule,1,0,10,3
6000,1,0,6,1
600k,2,0,2,1
602,1,0,1,1
60k,1,0,1,1
615,3,4,0,2
63105,1,3,1,0
63115,1,0,13,9
63136,1,4,0,3
635,1,0,1,3
636,1,0,3,1
661,2,3,0,1
6abc,1,4,0,3
6am,2,0,2,2
6p,4,2,2,0
6thfan,0,1,2,1
6x,4,1,2,0
6yrs,0,2,2,1
720,1,1,0,2
720p,0,5,2,1
726,1,0,2,2
731alicia,0,1,1,1
750,6,0,2,41
770,2,2,2,0
775,0,1,5,4
7am,0,2,2,2
7fm,3,1,1,0
7x,0,2,1,1
818,1,0,1,3
8216,0,1,6,2
8221,4,3,0,8
84,1,1,1,0
855,2,0,1,1
856,2,0,1,1
866,2,2,0,1
87,0,3,1,6
888,2,2,0,1
889brilafm,0,1,1,3
8a,5,3,1,0
8am,0,3,2,2
8x,2,0,2,2
90975,1,0,13,18
90sfootball,1,0,1,1
9123,2,2,0,1
96,0,4,2,4
999thebeat,2,2,0,2
9n,1,0,2,3
__,1,0,2,3
___,1,0,2,1
_cfj_,1,1,0,1
_deadfred,9,4,0,1
_hankrearden,4,3,0,1
_officerswife,3,1,0,3
_rafaelnieves,1,1,1,0
_vicksterz,1,0,1,3
a3,1,0,1,1
a4,1,0,1,1
a5,1,1,1,0
a5h0ka,4,3,0,1
a_m_perez,2,4,0,3
aapis,1,3,0,3
aaron,5,0,3,3
aaronmiguel_,1,3,1,0
abbey,1,4,0,2
abbie,2,0,2,2
abbotsford,0,1,2,3
abby,0,1,4,1
abc7,2,1,0,1
abc7newsbayarea,2,4,0,1
abducted,1,1,2,0
abel,9,0,6,5
abeltrujillo1,1,0,1,5
abernm,0,5,2,1
abhor,1,1,0,1
abhorrent,2,0,3,3
abide,0,2,2,1
abilities,1,1,0,2
abkafitzhenley,1,0,1,2
abolished,1,2,0,1
aboriginalnewsgroup,0,1,2,2
aboriginalpress,0,1,2,1
aborted,8,6,0,4
abraham_lincoln,0,1,1,1
abrasions,0,1,1,1
abridged,1,0,1,1
abroshar,2,0,1,26
abs,1,0,1,7
absence,0,4,5,25
absentee,2,0,2,1
absrdnews,2,1,1,0
abstractmind2,1,1,0,1
absurdlyabsurd,2,1,0,1
abundantly,1,2,0,3
abusers,1,4,0,2
abyss,0,1,1,2
ac,6,0,3,11
acalltopatriots,1,4,0,3
accede,1,0,1,1
accompanying,1,0,1,3
accomplice,4,5,2,0
accord,0,1,1,4
accounting,2,0,1,2
accusation,0,8,29,1
aches,0,1,1,6
achillesgirl,0,1,4,1
acknowledgement,2,1,0,2
acknowledging,5,0,2,2
acorn,0,159,2,2
acosaorg,0,2,2,16
acres,1,7,0,2
actio,0,1,1,5
activist360,0,1,1,1
activistbae,0,1,2,3
adambaldwin,1,1,0,3
adams,4,5,0,2
adapted,3,0,1,3
addict,5,1,0,2
addicted,4,3,0,6
addicts,1,1,0,1
additions,3,1,0,1
adept,1,0,1,1
adept2u,2,4,0,1
adequate,2,0,1,1
adequately,1,0,1,2
adjust,0,1,2,2
adjusting,1,1,1,0
administrative,4,1,0,7
administrator,1,1,0,1
admins,1,1,1,0
admirable,1,4,0,6
admiration,3,3,0,5
admittedly,4,1,0,1
adnan,1,0,38,2
adopting,1,1,0,4
adoption,2,0,1,1
adorable,4,0,6,4
adrenaline,1,1,0,1
adv,0,4,2,5
adventures,2,2,1,0
advert,4,0,1,1
advertising,0,4,2,3
advising,1,0,4,1
advisor,2,4,0,1
aejohnsonphd,2,0,2,3
afederalfarmer,3,1,0,2
affirm,3,5,0,2
affirmed,1,1,0,3
affleck,1,0,4,1
afflicted,2,1,0,2
afforded,0,3,9,4
affton,0,4,3,1
afmobi,4,3,0,3
africafifth,7,3,0,4
africanacarr,1,0,2,3
afrikan,1,2,0,1
afrolatino,10,2,0,2
afropunk,0,1,3,1
afte,0,4,1,8
afterfergusonpbs,1,0,19,6
afterlife,0,1,1,1
aftr,0,4,1,2
aga,1,1,0,1
aggravated,1,3,0,2
aggressiveness,1,0,1,3
aggressors,2,2,0,4
aging,0,14,1,2
agitprop,0,2,3,1
agnew,7,3,18,0
ahahaha,2,1,1,0
ahem,0,2,4,3
ahhhhh,1,1,0,1
ahole,0,1,1,1
aholic,12,1,1,0
ahs,7,2,0,12
ahsfreakshow,1,1,0,4
ai,0,12,4,2
aide,0,2,3,5
aided,1,2,1,0
aiding,4,1,0,1
aight,1,0,2,8
aiight,1,1,1,0
aircraft,1,1,0,2
aired,4,0,5,6
airing,3,0,5,11
airline,0,1,1,1
airlines,3,0,3,2
airmen,1,1,2,0
airplane,3,1,1,0
airs,5,2,0,3
aisle,2,2,0,7
aiusa,2,5,0,4
aiyana,0,1,5,5
aiyanajones,0,4,3,6
ajax,1,0,1,1
ajc,1,11,0,2
ak47,1,3,0,1
akamouse1,2,5,0,3
alancolmes,3,0,1,1
alaska,1,1,0,3
albeit,1,0,1,1
albums,1,4,1,0
alderwoman,4,2,2,0
aldotcom,0,2,2,1
alerts,1,6,1,0
alex_ogle,2,1,0,7
alexdon314,0,1,2,3
alexdstuckey,1,1,0,1
algorithmic,1,2,0,1
alias,1,1,0,3
aliashere,1,2,0,2
alien,4,10,0,6
alienate,1,2,0,3
alienating,1,1,0,1
aligned,0,2,1,1
alivingiano,1,2,0,1
allahpundit,3,4,0,1
allan,2,1,2,0
allanmorris72,4,3,0,2
allergic,1,1,0,1
alley,2,2,0,5
allisonkilkenny,1,0,1,2
allowance,0,2,1,1
allrealradio,0,1,2,1
alltopnewstoday,1,0,3,14
alluding,2,1,1,0
